id,label
1,1
3,1
5,2
7,2
8,2
9,2
10,2
11,2
14,1
15,2
17,1
20,1
23,2
29,2
30,2
34,1
35,2
37,1
38,1
41,1
44,1
45,1
50,2
51,2
53,2
55,1
59,1
60,1
61,1
62,2
64,2
69,1
70,1
72,2
73,1
77,1
80,2
81,2
86,1
87,1
90,1
92,1
94,2
96,2
97,2
98,2
99,2
100,1
103,1
106,2
111,1
112,1
113,2
115,2
116,1
120,1
123,1
127,2
129,2
132,2
135,2
136,1
138,2
139,2
144,2
145,1
147,2
148,2
149,1
150,2
155,1
159,1
160,1
162,1
164,1
168,1
169,2
170,1
173,2
174,1
179,1
180,1
182,1
184,2
186,1
190,1
191,2
193,2
194,2
196,2
201,2
203,2
205,2
207,1
211,2
212,2
216,1
217,2
219,2
220,2
224,2
225,2
229,1
230,2
231,2
233,1
238,1
239,2
245,1
247,2
250,1
251,2
252,1
254,2
256,2
257,1
258,1
259,1
261,2
264,2
265,2
266,2
267,2
268,2
269,2
272,1
273,1
275,1
276,1
277,2
280,1
281,2
282,2
283,2
284,1
286,2
291,2
293,1
294,1
295,1
301,2
302,1
306,2
307,1
308,2
313,2
314,2
316,2
318,1
320,1
322,2
323,1
324,2
325,1
326,1
328,1
329,1
330,2
331,1
332,2
333,1
337,2
339,1
340,2
344,2
346,1
347,2
348,2
350,1
351,2
352,2
356,1
357,1
360,2
362,2
363,1
366,2
368,1
370,2
372,2
373,1
375,1
380,2
382,1
383,2
384,1
388,1
390,1
391,2
392,1
395,1
396,2
399,2
400,1
401,2
403,1
404,2
406,2
408,1
409,2
414,2
417,2
418,2
419,1
421,2
422,1
424,2
425,2
427,2
429,2
431,2
433,2
434,1
435,2
436,2
439,1
440,2
444,1
449,1
451,1
454,1
461,2
462,2
463,1
464,2
467,1
470,2
471,2
472,2
473,1
474,2
475,2
476,2
479,1
481,1
482,2
483,2
487,1
488,1
490,1
491,1
492,2
493,2
496,2
497,1
500,2
505,2
508,1
509,1
510,1
511,1
512,2
515,2
516,1
517,2
518,1
522,2
523,1
525,1
527,2
528,2
529,2
530,1
532,2
533,2
535,2
536,1
541,2
543,2
544,1
546,1
549,2
550,1
551,1
552,2
554,2
555,2
559,1
560,1
562,1
563,1
564,2
565,2
567,2
571,2
573,1
577,1
578,2
580,2
582,1
583,2
584,1
585,1
587,2
592,2
593,2
595,1
597,2
598,1
600,1
601,1
604,1
605,2
607,2
609,1
610,1
611,2
612,1
615,2
618,2
621,2
623,1
624,2
625,1
629,1
630,1
631,2
634,1
637,2
638,2
640,2
641,2
643,2
647,1
649,2
652,2
656,1
658,2
659,2
662,1
666,1
667,2
668,1
669,1
671,1
674,2
675,1
676,1
678,1
679,1
680,1
681,1
683,2
685,2
686,2
688,1
691,2
692,1
695,1
697,1
699,2
700,2
702,2
703,2
704,2
709,2
712,1
715,1
716,1
719,1
720,1
721,1
722,2
725,1
726,1
727,2
728,2
730,1
